Best results for each combination of array length and number of segments considering segments with different sizes on 1050TI.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
1;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
2;R;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
3;R;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
4;R;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
5;FT;FT;FT;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
6;FT;FT;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT
7;H;FT;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT
8;H;H;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT
9;H;H;FT;M;M;FT;FT;FT;FT;FT;FT;FT;FT
10;H;H;FT;H;H;M;M;FT;FT;FT;FT;FT;FT
11;H;H;FT;H;H;H;M;M;FT;FT;FT;FT;FT
12;H;H;FT;H;H;H;H;M;M;FT;FT;FT;FT
13;H;H;H;H;H;H;H;H;M;FT;FT;FT;FT
14;H;H;H;H;H;H;H;H;H;M;M;FT;FT
15;--;H;H;M;H;H;H;H;H;H;M;M;FT
16;--;--;H;M;H;H;H;H;H;H;H;M;M
17;--;--;--;M;H;H;H;H;H;H;H;H;M
18;--;--;--;--;M;M;M;H;H;H;H;H;H
19;--;--;--;--;--;M;M;M;H;H;H;H;H
20;--;--;--;--;--;--;M;M;M;H;H;H;H
