Best results for each combination of array length and number of segments considering segments with the same size on 1050TI.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;FT;FT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT
1;FT;FT;FT;FT;MT;FT;FT;FT;MT;MT;MT;MT;MT
2;R;FT;FT;FT;FT;FT;FT;FT;FT;FT;MT;MT;MT
3;R;FT;FT;R;FT;FT;FT;FT;FT;FT;FT;MT;MT
4;H;R;FT;R;FT;FT;FT;FT;FT;FT;FT;FT;MT
5;H;H;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT
6;H;H;FT;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
7;H;H;H;H;M;FT;FT;FT;FT;FT;FT;FT;FT
8;H;H;H;H;H;M;FT;FT;FT;FT;FT;FT;FT
9;H;H;H;H;H;H;M;FT;FT;FT;FT;FT;FT
10;H;H;H;H;H;H;H;M;FT;FT;FT;FT;FT
11;H;H;H;M;H;H;H;H;M;FT;FT;FT;FT
12;H;H;H;M;H;H;H;H;H;M;FT;FT;FT
13;H;H;H;M;H;H;H;H;H;H;FT;FT;FT
14;H;H;H;M;H;H;H;H;H;H;H;M;FT
15;--;H;H;M;H;H;H;H;H;H;H;H;M
16;--;--;H;M;H;H;H;H;H;H;H;H;H
17;--;--;--;M;H;H;H;H;M;M;H;H;H
18;--;--;--;--;M;M;M;M;M;M;M;H;H
19;--;--;--;--;--;M;M;M;M;M;M;M;H
20;--;--;--;--;--;--;M;M;M;M;M;M;M
