Best results for each combination of array length and number of segments considering segments with the same size on 1050TI.
0;nthrust;fixthrust;fixthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust
1;fixthrust;fixthrust;fixthrust;fixthrust;nthrust;fixthrust;fixthrust;fixthrust;nthrust;nthrust;nthrust;nthrust;nthrust
2;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;nthrust;nthrust;nthrust
3;radixseg;fixthrust;fixthrust;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;nthrust;nthrust
4;bbsegsort;radixseg;fixthrust;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;nthrust
5;bbsegsort;bbsegsort;fixthrust;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
6;bbsegsort;bbsegsort;fixthrust;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
7;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
8;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
9;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
10;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
11;bbsegsort;bbsegsort;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust;fixthrust
12;bbsegsort;bbsegsort;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust;fixthrust;fixthrust
13;bbsegsort;bbsegsort;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust
14;bbsegsort;bbsegsort;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;fixthrust
15;--;bbsegsort;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg
16;--;--;bbsegsort;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort
17;--;--;--;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;mergeseg;mergeseg;bbsegsort;bbsegsort;bbsegsort
18;--;--;--;--;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;bbsegsort;bbsegsort
19;--;--;--;--;--;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;bbsegsort
20;--;--;--;--;--;--;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg;mergeseg
