Best results for each combination of array length and number of segments considering segments with the same size on KAHUNA.
0;nthrust;nthrust;fixcub;nthrust;nthrust;nthrust;nthrust;fixthrust;nthrust;nthrust;fixthrust;nthrust;nthrust
1;mergeseg;fixthrust;fixcub;fixcub;fixcub;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
2;radixseg;fixthrust;fixcub;fixcub;fixcub;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
3;radixseg;radixseg;radixseg;fixcub;fixcub;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
4;radixseg;radixseg;radixseg;radixseg;fixcub;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
5;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
6;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
7;bbsegsort;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
8;bbsegsort;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
9;bbsegsort;bbsegsort;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust
10;bbsegsort;bbsegsort;fixcub;fixcub;fixcub;radixseg;radixseg;fixthrust;radixseg;fixthrust;fixthrust;fixthrust;fixthrust
11;bbsegsort;bbsegsort;fixcub;fixcub;fixcub;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
12;bbsegsort;bbsegsort;fixcub;fixcub;bbsegsort;bbsegsort;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
13;bbsegsort;bbsegsort;fixcub;fixcub;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
14;bbsegsort;bbsegsort;fixcub;bbsegsort;fixcub;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
15;--;bbsegsort;fixcub;fixcub;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust
16;--;--;fixcub;fixcub;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust
17;--;--;--;fixcub;fixcub;fixcub;fixcub;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust
18;--;--;--;--;fixcub;fixcub;fixcub;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust
19;--;--;--;--;--;fixcub;fixcub;fixthrust;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust
20;--;--;--;--;--;--;fixcub;fixthrust;fixthrust;bbsegsort;bbsegsort;fixthrust;fixthrust
