Best results for each combination of array length and number of segments considering segments with different sizes on Q4000.
0;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;nthrust;fixthrust;nthrust;fixthrust;nthrust;nthrust;nthrust
1;fixcub;fixthrust;nthrust;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;nthrust;nthrust;nthrust
2;fixcub;fixthrust;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;nthrust
3;fixcub;fixthrust;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
4;radixseg;fixthrust;fixcub;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
5;radixseg;fixthrust;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
6;fixcub;fixthrust;radixseg;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
7;bbsegsort;fixthrust;fixcub;radixseg;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
8;bbsegsort;fixthrust;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
9;bbsegsort;fixthrust;fixcub;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
10;bbsegsort;fixthrust;fixcub;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
11;bbsegsort;fixthrust;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
12;bbsegsort;fixthrust;fixcub;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
13;bbsegsort;fixthrust;fixcub;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
14;bbsegsort;fixthrust;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
15;--;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
16;--;--;mergeseg;bbsegsort;bbsegsort;bbsegsort;bbsegsort;bbsegsort;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust
17;--;--;--;mergeseg;mergeseg;fixthrust;fixthrust;bbsegsort;bbsegsort;fixthrust;bbsegsort;bbsegsort;mergeseg
18;--;--;--;--;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;bbsegsort;bbsegsort;bbsegsort
19;--;--;--;--;--;fixthrust;fixthrust;fixthrust;fixthrust;fixthrust;bbsegsort;bbsegsort;bbsegsort
20;--;--;--;--;--;--;fixthrust;fixthrust;fixthrust;bbsegsort;bbsegsort;bbsegsort;bbsegsort
